epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,5654.19,1.56004,1.65681,0.96393,0.36116,0.09186,0.11982,0.08851,1.49245,1.70653,0.94243,0.000130225,0.000130225,0.000130225
111,5708.74,1.57956,1.66113,0.95873,0.36116,0.09186,0.11982,0.08851,1.49245,1.70653,0.94243,0.00012775,0.00012775,0.00012775
112,5762.45,1.55757,1.67334,0.95916,0.36518,0.0901,0.12117,0.08997,1.48594,1.69924,0.94085,0.000125275,0.000125275,0.000125275
113,5818.75,1.64398,1.71286,0.96686,0.36654,0.09021,0.12122,0.09034,1.48111,1.69357,0.94016,0.0001228,0.0001228,0.0001228
114,5873.46,1.67601,1.70796,0.9727,0.36632,0.08969,0.12191,0.09127,1.47857,1.68941,0.93984,0.000120325,0.000120325,0.000120325
115,5927.96,1.61009,1.70997,0.96143,0.36813,0.08958,0.12251,0.09185,1.47857,1.68941,0.93984,0.00011785,0.00011785,0.00011785
116,5985.3,1.69238,1.74918,0.96874,0.3666,0.09063,0.12341,0.0925,1.47813,1.68623,0.93946,0.000115375,0.000115375,0.000115375
117,6041.21,1.63632,1.70069,0.9777,0.37064,0.08893,0.12399,0.09295,1.47772,1.68286,0.93921,0.0001129,0.0001129,0.0001129
118,6096.11,1.55752,1.64925,0.9586,0.3727,0.09011,0.12469,0.09327,1.47577,1.67885,0.93886,0.000110425,0.000110425,0.000110425
119,6149.58,1.6407,1.68352,0.96097,0.3744,0.08906,0.12547,0.09397,1.47577,1.67885,0.93886,0.00010795,0.00010795,0.00010795
120,6204.83,1.60026,1.67431,0.97083,0.37098,0.08952,0.12523,0.09362,1.47267,1.67653,0.93791,0.000105475,0.000105475,0.000105475
121,6257.51,1.53098,1.64135,0.98145,0.33244,0.0894,0.12414,0.09291,1.47338,1.6753,0.93801,0.000103,0.000103,0.000103
122,6312.87,1.63045,1.7028,0.96514,0.36582,0.09284,0.12494,0.09308,1.46944,1.67398,0.9387,0.000100525,0.000100525,0.000100525
123,6368.18,1.55772,1.60442,0.95921,0.36735,0.09295,0.12565,0.09374,1.46944,1.67398,0.9387,9.805e-05,9.805e-05,9.805e-05
124,6420.6,1.50152,1.60603,0.96427,0.36729,0.09207,0.12651,0.0945,1.46856,1.67361,0.93965,9.5575e-05,9.5575e-05,9.5575e-05
125,6475.52,1.49568,1.59113,0.95599,0.37049,0.09483,0.12804,0.09568,1.46787,1.67311,0.94015,9.31e-05,9.31e-05,9.31e-05
126,6531.73,1.56642,1.6174,0.95821,0.40993,0.09369,0.12688,0.09474,1.46685,1.67195,0.9402,9.0625e-05,9.0625e-05,9.0625e-05
127,6586.77,1.62484,1.67069,0.96731,0.36997,0.09454,0.1279,0.09557,1.46685,1.67195,0.9402,8.815e-05,8.815e-05,8.815e-05
128,6640.17,1.51197,1.58549,0.96276,0.37138,0.09368,0.12737,0.09531,1.46456,1.66925,0.93946,8.5675e-05,8.5675e-05,8.5675e-05
129,6695.97,1.55501,1.61456,0.96903,0.37149,0.09469,0.12841,0.0962,1.46214,1.6655,0.93823,8.32e-05,8.32e-05,8.32e-05
130,6750.59,1.51952,1.60624,0.96799,0.29277,0.09595,0.12978,0.09703,1.46077,1.66133,0.93732,8.0725e-05,8.0725e-05,8.0725e-05
131,6804.9,1.6333,1.6514,0.97264,0.29277,0.09595,0.12978,0.09703,1.46077,1.66133,0.93732,7.825e-05,7.825e-05,7.825e-05
132,6858.68,1.55339,1.60312,0.95719,0.21362,0.09621,0.13005,0.09756,1.45993,1.6585,0.93616,7.5775e-05,7.5775e-05,7.5775e-05
133,6911.65,1.48285,1.59453,0.95417,0.29185,0.09251,0.1266,0.09482,1.46424,1.65625,0.93519,7.33e-05,7.33e-05,7.33e-05
134,6966.26,1.53699,1.60871,0.96985,0.25395,0.09281,0.12735,0.09548,1.46993,1.65506,0.93545,7.0825e-05,7.0825e-05,7.0825e-05
135,7021.65,1.52386,1.57879,0.95608,0.25395,0.09281,0.12735,0.09548,1.46993,1.65506,0.93545,6.835e-05,6.835e-05,6.835e-05
136,7076.88,1.5515,1.62596,0.95394,0.2539,0.09236,0.12697,0.09501,1.47349,1.65302,0.9353,6.5875e-05,6.5875e-05,6.5875e-05
137,7134.57,1.55178,1.60628,0.96396,0.37354,0.0923,0.12737,0.09532,1.47518,1.65169,0.93527,6.34e-05,6.34e-05,6.34e-05
138,7191.29,1.54943,1.62324,0.96486,0.37377,0.09165,0.12696,0.09513,1.47633,1.64862,0.93495,6.0925e-05,6.0925e-05,6.0925e-05
139,7247.05,1.60135,1.61381,0.9602,0.37377,0.09165,0.12696,0.09513,1.47633,1.64862,0.93495,5.845e-05,5.845e-05,5.845e-05
140,7299.43,1.54378,1.61189,0.96767,0.37263,0.09261,0.12787,0.0958,1.47925,1.64698,0.93525,5.5975e-05,5.5975e-05,5.5975e-05
141,7355.95,1.65292,1.64557,0.96507,0.37394,0.09205,0.12869,0.09652,1.48009,1.64452,0.93532,5.35e-05,5.35e-05,5.35e-05
142,7410.68,1.58376,1.6044,0.96513,0.37976,0.08965,0.12806,0.09591,1.47899,1.64075,0.93492,5.1025e-05,5.1025e-05,5.1025e-05
143,7465.02,1.60815,1.63995,0.95714,0.37976,0.08965,0.12806,0.09591,1.47899,1.64075,0.93492,4.855e-05,4.855e-05,4.855e-05
144,7518.79,1.50128,1.586,0.95185,0.34183,0.08985,0.12852,0.0962,1.47654,1.63749,0.93437,4.6075e-05,4.6075e-05,4.6075e-05
145,7574.85,1.54112,1.63645,0.9632,0.34385,0.0931,0.13198,0.09878,1.47473,1.63348,0.93387,4.36e-05,4.36e-05,4.36e-05
146,7628.73,1.58074,1.59853,0.96104,0.3444,0.09395,0.13262,0.09917,1.47011,1.63032,0.93322,4.1125e-05,4.1125e-05,4.1125e-05
147,7683.4,1.53583,1.61311,0.95477,0.3444,0.09395,0.13262,0.09917,1.47011,1.63032,0.93322,3.865e-05,3.865e-05,3.865e-05
148,7737.35,1.5591,1.59036,0.95606,0.34051,0.09141,0.13004,0.09748,1.46473,1.62696,0.93261,3.6175e-05,3.6175e-05,3.6175e-05
149,7792.08,1.55173,1.58517,0.96198,0.33983,0.09132,0.13048,0.09815,1.45764,1.62375,0.93207,3.37e-05,3.37e-05,3.37e-05
150,7845.86,1.60464,1.61082,0.96331,0.34254,0.09448,0.13432,0.10117,1.45211,1.62054,0.93161,3.1225e-05,3.1225e-05,3.1225e-05
151,7897.12,1.48551,1.66327,0.96234,0.34254,0.09448,0.13432,0.10117,1.45211,1.62054,0.93161,2.875e-05,2.875e-05,2.875e-05
152,7948.19,1.55472,1.7531,0.97866,0.3433,0.09419,0.13433,0.10135,1.45041,1.61921,0.93094,2.6275e-05,2.6275e-05,2.6275e-05
153,7999.1,1.49093,1.68698,0.95855,0.33981,0.09626,0.13453,0.10105,1.44795,1.62339,0.93076,2.38e-05,2.38e-05,2.38e-05
154,8044.11,1.54953,1.66019,0.96184,0.33767,0.09619,0.13684,0.10257,1.44809,1.63159,0.93081,2.1325e-05,2.1325e-05,2.1325e-05
155,8088.33,1.53494,1.73184,0.9663,0.33767,0.09619,0.13684,0.10257,1.44809,1.63159,0.93081,1.885e-05,1.885e-05,1.885e-05
156,8133.33,1.50623,1.66644,0.96289,0.33872,0.09553,0.13694,0.10262,1.45092,1.64082,0.93165,1.6375e-05,1.6375e-05,1.6375e-05
157,8178.41,1.58253,1.81361,0.97158,0.33566,0.0954,0.13652,0.10219,1.4537,1.65139,0.93257,1.39e-05,1.39e-05,1.39e-05
158,8228.76,1.52321,1.67332,0.9638,0.29411,0.09543,0.1359,0.10165,1.45651,1.65889,0.93319,1.1425e-05,1.1425e-05,1.1425e-05
159,8280.51,1.49763,1.65966,0.95715,0.29411,0.09543,0.1359,0.10165,1.45651,1.65889,0.93319,8.95e-06,8.95e-06,8.95e-06
160,8331.29,1.46762,1.66985,0.96396,0.29326,0.09638,0.13515,0.10103,1.45751,1.66141,0.93346,6.475e-06,6.475e-06,6.475e-06
